,Title,author,rating,num_rating,num_reviews,pages,publish_year,url,series,awards,genre_1,genre_2,genre_3,places
125,Marley and Me: Life and Love With the World's Worst Dog,John Grogan,4.13,"446,641 ratings","14,205 reviews",,Published October 18th 2005 by William Morrow; 1ST edition,,Jenny,,,,,
126,Mystic River,Dennis Lehane,4.16,"132,378 ratings","3,833 reviews",,Published February 1st 2001 by William Morrow Paperbacks (first published 2001),,Dave Boyle,,,,,
127,The Lost Symbol,Dan Brown,3.71,"531,860 ratings","27,355 reviews",509 pages,Published September 15th 2009 by Doubleday,,,,,,,
128,Prodigal Summer,Barbara Kingsolver,3.99,"100,288 ratings","6,331 reviews",,Published October 16th 2001 by Harper Perennial (first published October 17th 2000),,http://www.kingsolver.com/books/prodigal-summer.html,,,,,
129,The Elegance of the Hedgehog,Muriel Barbery,3.77,"152,796 ratings","18,178 reviews",,Published September 2nd 2008 by Europa Editions (first published August 2006),,Renée Michel,,,,,
130,The Invention of Hugo Cabret,Brian Selznick,4.20,"167,821 ratings","14,993 reviews",,Published March 2007 by Scholastic Press,http://www.theinventionofhugocabret.com/index.htm,Hugo Cabret,,,,,
131,Artemis Fowl,Eoin Colfer,3.84,"508,719 ratings","12,016 reviews",,Published April 1st 2003 by Disney-Hyperion (first published April 26th 2001),,Artemis Fowl #1,"Garden State Book Award for Fiction (Grades 6-8) (2004), Massachusetts Children's Book Award (2003), Blue Hen Book Award for Chapter Book (2003), Rhode Island Teen Book Award Nominee (2002), Pacific Northwest Library Association Young Reader's Choice Award for Intermediate (2004)",,,,
132,The Tales of Beedle the Bard,J.K. Rowling,4.05,"419,366 ratings","15,589 reviews",,Published December 4th 2008 by Bloomsbury,,Hogwarts Library,,,,,
133,The Eyre Affair,Jasper Fforde,3.87,"124,557 ratings","10,309 reviews",,Published February 25th 2003 by Penguin Books (first published July 19th 2001),,http://www.jasperfforde.com/thursdayintro.html,,,,,
134,Blood Promise,Richelle Mead,4.31,"283,777 ratings","9,895 reviews",,Published August 25th 2009 by Razorbill (first published August 2009),,,,,,,
135,Still Alice,Lisa Genova,4.31,"300,839 ratings","27,710 reviews",,Published July 6th 2007 by iUniverse,,Alice Howland,,Fiction,Contemporary,Psychology,
136,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,3.61,"121,538 ratings","7,738 reviews",,Published December 30th 2003 by Random House Trade Paperbacks (first published March 25th 2003),,Azar Nafisi,,,,,
137,The Tale of Despereaux,Kate DiCamillo,4.04,"166,960 ratings","10,148 reviews",,Published September 9th 2008 by Candlewick Press (first published August 25th 2003),,Despereaux Tilling,All Editions | Add a New Edition | Combine,,,,
138,Confessions of a Shopaholic,Sophie Kinsella,3.66,"656,118 ratings","12,491 reviews",,Published November 4th 2003 by Dell Publishing Company (first published 2000),,https://www.sophiekinsella.co.uk/book-series/shopaholic-series/,,Womens Fiction,Fiction,Romance,
139,The Known World,Edward P. Jones,3.81,"37,045 ratings","3,286 reviews",388 pages,Published August 29th 2006 by Amistad (first published September 2003),,,,,,,
140,The Yiddish Policemen's Union,Michael Chabon,3.71,"70,518 ratings","6,979 reviews",414 pages,Published May 1st 2007 by HarperCollins,,https://www.harpercollins.com/9780007149827/the-yiddish-policemens-union/,"Hugo Award for Best Novel (2008), Nebula Award for Best Novel (2007), Locus Award for Best Science Fiction Novel (2008), Hammett Prize Nominee (2007), California Book Award for Fiction (Gold) (2007) ...more",,,,
141,People of the Book,Geraldine Brooks,4.02,"126,233 ratings","11,541 reviews",,Published October 1st 2008 by Viking Books (first published January 2008),,Hanna Heath,,,,,
142,The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,4.09,"230,235 ratings","23,982 reviews",,"Published September 12th 2007 by Little, Brown Books for Young Readers",,"Arnold ""Junior"" Spirit",,,,,
143,Nickel and Dimed: On (Not) Getting by in America,Barbara Ehrenreich,3.63,"180,483 ratings","6,532 reviews",,Published May 1st 2002 by Owl Books (Henry Holt) (first published May 8th 2001),,http://us.macmillan.com/nickelanddimed/BarbaraEhrenreich,All Editions | Add a New Edition | Combine,,,,
144,Little Bee,Chris Cleave,3.71,"226,483 ratings","21,353 reviews",,Published February 16th 2010 by Simon & Schuster (first published August 7th 2008),,Sarah O'Rourke,,Fiction,Cultural,Historical,
145,A Million Little Pieces,James Frey,3.65,"227,409 ratings","11,779 reviews",515 pages,Published September 22nd 2005 by Anchor Books (first published 2003),,James Frey,,,,,
146,The White Tiger,Aravind Adiga,3.74,"161,376 ratings","10,444 reviews",,Published 2008 by Free Press,,Balram Halwai,,,,,
147,The Maze Runner,James Dashner,4.03,"1,095,667 ratings","56,160 reviews",384 pages,Published October 6th 2009 by Delacorte Press,,The Maze Runner #1,,,,,
148,Dead Until Dark,Charlaine Harris,3.96,"502,665 ratings","18,409 reviews",,Published May 1st 2001 by Ace Books,,Sookie Stackhouse #1,"Locus Award Nominee for Best Fantasy Novel (2002), Anthony Award for Best Paperback Original (2002), Dilys Award Nominee (2002), Agatha Award Nominee for Best Novel (2001), Compton Crook Award Nominee (2002)",,,,
149,Olive Kitteridge,Elizabeth Strout,3.83,"179,336 ratings","19,957 reviews",,Published March 25th 2008 by Random House,Olive Kitteridge #1,Olive Kitteridge,,Fiction,Short Stories,Literary Fiction,
150,Shiver,Maggie Stiefvater,3.77,"440,544 ratings","23,077 reviews",,Published August 1st 2009 by Scholastic Press,,http://maggiestiefvater.com/the-shiver-trilogy/shiver/,,Young Adult,Fantasy,Romance,
151,The City of Ember,Jeanne DuPrau,3.86,"251,429 ratings","11,285 reviews",,Published 2003 by Random House Children's Books,,Book of Ember #1,,,,,
152,The Year of Magical Thinking,Joan Didion,3.89,"148,127 ratings","10,755 reviews",227 pages,Published February 13th 2007 by Vintage (first published September 1st 2005),,,,,,,
153,"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,3.86,"99,907 ratings","4,907 reviews",,Published April 2006 by The Penguin Group (first published January 2nd 2003),,,,,,,
154,Thirteen Reasons Why,Jay Asher,3.91,"790,859 ratings","52,197 reviews",352 pages,Published December 27th 2016 by Razorbill (first published October 18th 2007),,Clay Jensen,All Editions | Add a New Edition | Combine,Young Adult,Contemporary,Fiction,
155,The Complete Persepolis,Marjane Satrapi,4.37,"127,353 ratings","8,376 reviews",,Published October 30th 2007 by Pantheon Books (first published 2003),,Persepolis #1-4,,,,,
156,The Bonesetter's Daughter,Amy Tan,3.98,"122,901 ratings","3,559 reviews",,Published February 4th 2003 by Ballantine Books (first published February 19th 2001),,Ruth Young,,,,,
157,"Hush, Hush",Becca Fitzpatrick,3.96,"589,385 ratings","25,224 reviews",391 pages,Published October 13th 2009 by Simon & Schuster BFYR,,http://www.beccafitzpatrick.com/hushhushstory.html,,Young Adult,Fantasy,Romance,
158,Naked,David Sedaris,4.08,"242,183 ratings","5,788 reviews",,Published 1998 by Back Bay Books (first published March 1st 1997),David Sedaris,Randy Shilts Award for Gay Nonfiction (1998),,,,,
159,Wolf Hall,Hilary Mantel,3.87,"173,039 ratings","16,036 reviews",,Published 2010 by HarperCollins Publishers Ltd (first published April 30th 2009),,Thomas Cromwell #1,"Booker Prize (2009), Orange Prize Nominee for Fiction Shortlist (2010), James Tait Black Memorial Prize Nominee for Fiction (2009), Costa Book Award Nominee for Novel (2009), Magnesia Litera Nominee for Translation (Litera za překladovou knihu) (2011) ...more",Historical,Fiction,Historical,
160,Fun Home: A Family Tragicomic,Alison Bechdel,4.07,"136,675 ratings","9,482 reviews",,Published June 5th 2007 by Mariner Books (first published June 8th 2006),,,,Sequential Art,Autobiography,Sequential Art,
161,Marked,P.C. Cast,3.80,"439,981 ratings","14,388 reviews",306 pages,Published May 1st 2007 by St. Martin's Press,,http://houseofnightseries.com/,,,,,
162,A Long Way Gone: Memoirs of a Boy Soldier,Ishmael Beah,4.14,"167,853 ratings","10,835 reviews",,Published February 13th 2007 by Sarah Crichton Books,,http://us.macmillan.com/alongwaygone/IshmaelBeah,"ALA Alex Award (2008), Lincoln Award Nominee (2010), NAIBA Book of the Year for Nonfiction (2007), Bill Duthie Booksellers’ Choice Award Nominee (2008)",,,,
163,Case Histories,Kate Atkinson,3.81,"92,040 ratings","6,782 reviews",,Published October 17th 2005 by Back Bay Books (first published September 1st 2004),,http://www.kateatkinson.co.uk/books/info/?t=Case-Histories,,,,,
164,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,3.98,"704,279 ratings","13,801 reviews",,Published January 7th 2002 by Back Bay Books (first published 2000),,,,Nonfiction,Business,Psychology,
165,1776,David McCullough,4.07,"192,528 ratings","7,371 reviews",386 pages,Published July 4th 2006 by Simon Schuster (first published May 24th 2005),,http://books.simonandschuster.com/1776/David-McCullough/9780743226721,,History,Nonfiction,North American Hi...,
166,Half of a Yellow Sun,Chimamanda Ngozi Adichie,4.31,"109,566 ratings","8,899 reviews",,Published September 12th 2006 by Knopf,,https://www.penguinrandomhouse.com/books/879/half-of-a-yellow-sun-by-chimamanda-ngozi-adichie/,"Orange Prize for Fiction (2007), James Tait Black Memorial Prize Nominee for Fiction (2006), Anisfield-Wolf Book Award for Fiction (2007), PEN Open Book Award (2007), National Book Critics Circle Award Nominee for Fiction (2006) ...more",,,,
167,In the Woods,Tana French,3.77,"315,980 ratings","22,184 reviews",,Published May 27th 2008 by Penguin Books (first published May 17th 2007),Dublin Murder Squad #1,Cassie Maddox,,,,,
168,Stiff: The Curious Lives of Human Cadavers,Mary Roach,4.05,"177,012 ratings","13,875 reviews",,Published May 17th 2004 by W. W. Norton Company (first published April 17th 2003),,Guardian First Book Award Nominee for Also Commended (2003),,,,,
169,The Final Empire,Brandon Sanderson,4.44,"419,345 ratings","29,014 reviews",,Published July 25th 2006 by Tor Books (first published July 17th 2006),,Mistborn #1,"Tähtifantasia Award Nominee (2018), Prix Elbakin.net for Meilleur roman fantasy traduit (2010)",,,,
170,A Dirty Job,Christopher Moore,4.03,"109,753 ratings","6,704 reviews",,Published March 21st 2006 by William Morrow,http://www.chrismoore.com/dirty_job.html,Grim Reaper #1,The Quill Award for General Fiction (2006),,,,
171,Special Topics in Calamity Physics,Marisha Pessl,3.70,"43,666 ratings","5,332 reviews",,Published August 3rd 2006 by Penguin Books Ltd,,Blue van Meer,,,,,
172,The Fiery Cross,Diana Gabaldon,4.23,"177,340 ratings","7,332 reviews",,Published August 30th 2005 by Dell (first published November 6th 2001),,Outlander #5,,,,,
173,Eldest,Christopher Paolini,3.99,"366,709 ratings","9,720 reviews",,Published March 13th 2007 by Knopf Books for Young Readers (first published August 23rd 2005),,The Inheritance Cycle #2,"West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2006), Colorado Blue Spruce Young Adult Book Award (2007), Teen Buckeye Book Award (2007), Soaring Eagle Book Award (2006)",,,,
174,Those Who Save Us,Jenna Blum,4.11,"95,162 ratings","6,747 reviews",,Published May 2nd 2005 by Harcourt Books (first published April 5th 2004),,Anna Schlemmer,,,,,
175,Moloka'i,Alan Brennert,4.16,"110,062 ratings","9,972 reviews",,Published October 4th 2004 by St. Martin's Griffin (first published October 21st 2003),,Moloka'i #1,One Book One San Diego (2012),,,,
176,Inkspell,Cornelia Funke,3.90,"114,486 ratings","4,129 reviews",635 pages,Published October 1st 2005 by The Chicken House,,Inkworld #2,,,,,
177,The Shock Doctrine: The Rise of Disaster Capitalism,Naomi Klein,4.24,"39,865 ratings","2,883 reviews",,Published September 18th 2007 by Metropolitan Books (first published September 18th 2006),,Augusto Pinochet,,,,,
178,The Gargoyle,Andrew Davidson,3.94,"45,343 ratings","5,551 reviews",,Published January 1st 2008 by Doubleday,,Marianne Engel,,Fiction,Fantasy,Historical,
179,The Forgotten Garden,Kate Morton,4.13,"194,780 ratings","18,652 reviews",,Published June 1st 2008 by Pan Books,,http://www.katemorton.com/the-forgotten-garden/,"Australian Book Industry Award (ABIA) for General Fiction (2009), 本屋大賞 Nominee for Translated Fiction (2012)",Fiction,Historical,Mystery,
180,The Crimson Petal and the White,Michel Faber,3.86,"39,184 ratings","3,247 reviews",,Published September 11th 2003 by Canongate Books (first published 2002),,Sugar,,,,,
181,Brisingr,Christopher Paolini,4.05,"310,532 ratings","9,185 reviews",748 pages,Published September 20th 2008 by Alfred A. Knopf,,The Inheritance Cycle #3,,,,,
182,Fingersmith,Sarah Waters,4.00,"85,027 ratings","5,913 reviews",,Published October 1st 2002 by Riverhead Books,,Sue Trinder,,,,,
183,The Slippery Slope,Lemony Snicket,4.02,"107,495 ratings","2,587 reviews",,Published September 23rd 2003 by HarperCollins Publishers,,A Series of Unfortunate Events #10,,,,,
184,Unaccustomed Earth,Jhumpa Lahiri,4.09,"85,472 ratings","7,975 reviews",352 pages,Published 2008 by Knopf,,Ruma,All Editions | Add a New Edition | Combine,,,,
185,P.S. I Love You,Cecelia Ahern,4.02,"342,912 ratings","8,652 reviews",,Published January 5th 2005 by Hachette Books (first published February 3rd 2004),,P.S. I Love You #1,,,,,
186,Tithe,Holly Black,3.72,"82,297 ratings","4,461 reviews",,Published April 2004 by Simon Pulse (first published October 1st 2002),,Modern Faerie Tales #1,"Mythopoeic Fantasy Award Nominee for Children's Literature (2008), Lincoln Award Nominee (2008)",Fantasy,Young Adult,Fantasy,
187,Storm Front,Jim Butcher,3.99,"302,667 ratings","16,613 reviews",355 pages,Published April 1st 2000 by Penguin ROC,,http://www.jim-butcher.com/books/dresden/storm-front,,,,,
188,Outliers: The Story of Success,Malcolm Gladwell,4.17,"580,098 ratings","26,372 reviews",,"Published November 18th 2008 by Little, Brown and Company (first published 2008)",,,,,,,
189,Choke,Chuck Palahniuk,3.69,"189,107 ratings","6,106 reviews",,Published June 2002 by Anchor Books (first published May 22nd 2001),,Victor Mancini,,,,,
190,Just Listen,Sarah Dessen,4.05,"235,363 ratings","8,153 reviews",,Published April 6th 2006 by Viking Books,,Annabel Greene,,,,,
191,The Wide Window,Lemony Snicket,3.93,"163,771 ratings","5,061 reviews",,Published February 25th 2000 by HarperCollins Publishers (first published February 2nd 2000),,A Series of Unfortunate Events #3,,,,,
192,Dark Lover,J.R. Ward,4.18,"295,504 ratings","13,183 reviews",,Published September 6th 2005 by Penguin Group (USA) (first published February 19th 2005),,http://jrward.com/books/dark-lover/,,,,,
193,Moon Called,Patricia Briggs,4.14,"181,796 ratings","8,553 reviews",,Published January 31st 2006 by Ace,,http://patriciabriggs.com/books/,,,,,
194,Under the Dome,Stephen King,3.91,"263,047 ratings","15,005 reviews",1074 pages,Published November 10th 2009 by Scribner,,Dale Barbara,,Horror,Fiction,Science Fiction,
195,The Book of Negroes,Lawrence Hill,4.44,"75,846 ratings","6,382 reviews",,Published January 12th 2015 by W. W. Norton Company (first published January 18th 2007),,Aminata Diallo,,,,,
196,A Breath of Snow and Ashes,Diana Gabaldon,4.43,"143,075 ratings","5,556 reviews",,Published August 29th 2006 by Delta (first published September 27th 2005),,Outlander #6,"All About Romance (AAR) Annual Reader Poll for Most-Hanky Read (tie) & Best American Historical/Frontier Romance (2006), The Quill Award for Science fiction/fantasy/horror (2006), Corine Internationaler Buchpreis for Weltbild Leserpreis (2006)",Historical,Romance,Fiction,
197,The Plot Against America,Philip Roth,3.77,"51,689 ratings","4,243 reviews",391 pages,Published September 27th 2005 by Vintage International (first published October 5th 2004),,Charles Lindbergh,,,,,
